Time,Ambient Temperature,Cooler with Ice,Tray with Ice,Tray with Ice Packs ,Refrigerated Tray,Refrigeration
1,1.5,1.65,1.55,1.65,1.1,21.8
2,1.85,1.7,1.75,1.75,1.2,21.7
3,2.1,1.8,1.9,1.9,1.4,21.5
4,2.45,1.9,2.1,2.05,1.65,21.05
5,2.7,2,2.3,2.15,1.85,20.75
6,2.9,2.1,2.4,2.35,2.1,20.5
7,3.1,2.15,2.5,2.5,2.25,20.2
8,3.4,2.25,2.7,2.6,2.5,20
9,3.7,2.35,2.8,2.8,2.75,19.7
10,3.9,2.35,2.95,2.8,2.95,19.4
11,4.1,2.45,3.15,3.05,3.2,19.1
12,4.3,2.55,3.25,3.15,3.45,18.9
13,4.55,2.55,3.5,3.3,3.7,18.6
14,4.75,2.6,3.65,3.45,3.9,18.45
15,5,2.65,3.7,3.55,4.15,18.2
16,5.2,2.75,3.9,3.7,4.35,18
17,5.4,2.85,4.05,3.8,4.6,17.7
18,5.65,2.85,4.2,3.95,4.85,17.4
19,5.8,2.95,4.3,4.1,5,17.2
20,6,3.05,4.4,4.25,5.2,16.95
21,6.2,3.05,4.55,4.3,5.4,16.7
22,6.4,3.15,4.6,4.45,5.65,16.4
23,6.6,3.15,4.8,4.6,5.85,16.2
24,6.8,3.25,4.9,4.65,6,15.9
25,7.05,3.25,5,4.85,6.2,15.65
26,7.2,3.35,5.1,4.9,6.35,15.4
27,7.35,3.35,5.25,5.1,6.55,15.2
28,7.55,3.4,5.4,5.15,6.85,14.95
29,7.75,3.45,5.5,5.35,7.05,14.75
30,7.95,3.55,5.6,5.45,7.15,14.5
31,8.1,3.5,5.7,5.55,7.35,14.3
32,8.3,3.55,5.8,5.6,7.55,14.2
33,8.5,3.65,5.9,5.75,7.75,14
34,8.6,3.65,6.05,5.85,7.95,13.8
35,8.8,3.7,6.15,6,8.05,13.6
36,9,3.8,6.25,6.05,8.2,13.3
37,9.1,3.8,6.35,6.15,8.4,13.2
38,9.3,3.9,6.45,6.25,8.55,12.9
39,9.45,3.9,6.55,6.35,8.75,12.75
40,9.6,3.85,6.65,6.45,8.9,12.65
41,9.8,3.95,6.75,6.55,9.1,12.45
42,9.9,3.9,6.85,6.65,9.2,12.35
43,10,3.95,6.95,6.85,9.45,12.2
44,10.2,4,7.05,6.95,9.55,12.05
45,10.35,4,7.15,7.05,9.75,11.9
46,10.5,4,7.25,7.15,9.9,11.75
47,10.6,4.05,7.35,7.15,10,11.55
48,10.8,4.1,7.45,7.25,10.25,11.4
49,10.9,4.1,7.55,7.35,10.35,11.25
50,11,4.15,7.55,7.4,10.45,11.1
51,11.15,4.1,7.7,7.55,10.65,11
52,11.3,4.2,7.75,7.65,10.75,10.9
53,11.4,4.2,7.85,7.65,10.95,10.7
54,11.55,4.3,7.95,7.75,11.05,10.6
55,11.65,4.3,8,7.9,11.2,10.45
56,11.75,4.3,8.05,8.05,11.35,10.35
57,11.9,4.3,8.15,8.15,11.45,10.3
58,12,4.4,8.2,8.25,11.6,10.15
59,12.15,4.3,8.25,8.3,11.75,10
60,12.25,4.4,8.35,8.45,11.85,10
