Time,Ambient Temperature,Cooler with Ice,Tray with Ice,Tray with Ice Packs ,Refrigerated Tray,Refrigeration
1,1.85,1.35,1.65,1.9,1.85,21
2,2.15,1.75,1.8,1.95,1.95,20.8
3,2.45,1.95,1.95,2.05,2.15,20.5
4,2.7,1.95,2.1,2.2,2.4,20.2
5,2.95,2,2.25,2.25,2.6,20
6,3.2,2.1,2.35,2.35,2.8,19.8
7,3.45,2.1,2.5,2.4,3,19.55
8,3.65,2.2,2.65,2.55,3.15,19.35
9,3.85,2.3,2.75,2.6,3.4,19.05
10,4.1,2.3,2.85,2.7,3.55,18.8
11,4.25,2.4,2.95,2.75,3.8,18.55
12,4.55,2.5,3.05,2.85,4,18.35
13,4.7,2.55,3.2,2.85,4.2,18.15
14,4.9,2.5,3.3,2.95,4.4,17.95
15,5.1,2.55,3.4,3,4.6,17.75
16,5.25,2.6,3.5,3.1,4.75,17.45
17,5.5,2.65,3.65,3.15,5,17.25
18,5.65,2.7,3.75,3.3,5.15,17.05
19,5.9,2.7,3.85,3.3,5.35,16.85
20,6.05,2.7,3.95,3.5,5.6,16.55
21,6.25,2.75,4.05,3.5,5.75,16.35
22,6.4,2.75,4.1,3.6,6,16.05
23,6.6,2.75,4.25,3.65,6.15,15.85
24,6.85,2.8,4.35,3.7,6.3,15.7
25,7.05,2.85,4.55,3.8,6.5,15.45
26,7.15,2.9,4.65,3.9,6.7,15.25
27,7.35,2.9,4.7,3.9,6.9,15.05
28,7.55,2.9,4.75,4.05,7.1,14.85
29,7.7,2.95,4.9,4.1,7.25,14.55
30,7.85,2.95,5.05,4.2,7.45,14.4
31,8.1,2.95,5.1,4.3,7.65,14.2
32,8.25,2.95,5.25,4.35,7.8,13.95
33,8.4,2.95,5.35,4.5,8,13.75
34,8.55,2.95,5.35,4.5,8.15,13.55
35,8.7,3,5.45,4.6,8.35,13.35
36,8.85,3.05,5.55,4.6,8.5,13.15
37,9,3.05,5.75,4.8,8.65,12.95
38,9.15,3.15,5.75,4.8,8.8,12.85
39,9.3,3.15,5.85,4.9,8.95,12.6
40,9.4,3.15,5.95,5,9.15,12.45
41,9.6,3.15,6.05,5.1,9.3,12.25
42,9.75,3.15,6.15,5.1,9.35,12.05
43,9.9,3.15,6.25,5.2,9.55,11.9
44,10,3.2,6.3,5.3,9.65,11.75
45,10.2,3.25,6.45,5.4,9.85,11.65
46,10.3,3.25,6.45,5.5,10,11.45
47,10.4,3.25,6.5,5.6,10.15,11.35
48,10.6,3.3,6.55,5.7,10.3,11.25
49,10.7,3.3,6.7,5.75,10.45,11.05
50,10.95,3.25,6.75,5.85,10.55,10.95
51,11,3.35,6.85,5.9,10.75,10.8
52,11.2,3.3,7,6.05,10.85,10.65
53,11.3,3.35,6.95,6.1,11.05,10.55
54,11.4,3.45,7.05,6.3,11.15,10.4
55,11.5,3.4,7.15,6.35,11.35,10.25
56,11.6,3.35,7.3,6.4,11.4,10.15
57,11.75,3.4,7.3,6.5,11.5,10.05
58,11.9,3.45,7.45,6.55,11.7,9.95
59,12,3.4,7.55,6.65,11.8,9.85
60,12.1,3.45,7.55,6.8,11.95,9.75
