Time,Ambient Temperature,Cooler with Ice,Tray with Ice,Tray with Ice Packs ,Refrigerated Tray,Refrigeration
1,21.35,21.25,21.55,21.65,21.2,3.35
2,21.3,21.25,21.65,21.7,21.2,3.75
3,21.25,21.3,21.55,21.65,21.15,3.95
4,21.2,21.3,21.5,21.55,21.25,3.5
5,21.15,21.45,21.55,21.55,21.25,3.25
6,21.15,21.55,21.55,21.5,21.25,3.25
7,21.05,21.65,21.55,21.45,21.25,3.3
8,21,21.65,21.55,21.55,21.25,3.3
9,21.05,21.6,21.35,21.5,21.25,3.3
10,21.15,21.7,21.5,21.5,21.25,3.3
11,21.25,21.45,21.65,21.5,21.35,3.4
12,21.15,21.55,21.75,21.6,21.25,3.4
13,21.3,21.55,21.85,21.85,21.25,3.45
14,21.2,21.45,21.95,21.9,21.3,3.45
15,21.2,21.4,21.95,21.8,21.2,3.45
16,21.25,21.35,21.85,21.75,21.2,3.55
17,21.25,21.35,21.85,21.85,21.3,3.55
18,21.25,21.3,21.95,21.9,21.45,3.05
19,21.3,21.25,22.05,22,21.35,2.05
20,21.25,21.15,22.05,21.9,21.4,2.15
21,21.1,21.1,22.05,21.8,21.45,1.45
22,21.1,21.1,22,21.7,21.35,1.05
23,21.15,21.3,21.95,21.7,21.4,0.75
24,21.15,21.35,21.85,21.75,21.4,0.5
25,21.15,21.3,21.65,21.65,21.35,0.35
26,21.35,21.25,21.45,21.6,21.45,1.25
27,21.25,21.3,21.35,21.6,21.5,1.75
28,21.45,21.3,21.35,21.6,21.5,1.05
29,21.45,21.35,21.45,21.55,21.5,0.65
30,21.5,21.45,21.55,21.65,21.5,0.35
31,21.6,21.5,21.45,21.75,21.4,1.25
32,21.4,21.6,21.35,21.65,21.6,1.6
33,21.35,21.5,21.2,21.6,21.65,1.65
34,21.55,21.5,21.25,21.6,21.5,1.35
35,21.65,21.5,21.1,21.6,21.4,0.65
36,21.5,21.55,21.3,21.6,21.3,1.5
37,21.45,21.6,21.4,21.55,21.4,2.35
38,21.35,21.7,21.45,21.5,21.5,2.2
39,21.35,21.65,21.25,21.55,21.6,2.1
40,21.35,21.8,21,21.5,21.6,2.8
41,21.35,21.8,20.9,21.5,21.7,2.5
42,21.35,21.7,20.9,21.55,21.75,2.5
43,21.3,21.75,21.1,21.45,21.7,2.5
44,21.2,21.8,21.3,21.45,21.6,2.5
45,21.1,21.6,21.25,21.45,21.6,2.5
46,21.15,21.5,21.25,21.55,21.6,2.6
47,21.2,21.5,21.55,21.55,21.6,2.6
48,21.35,21.5,21.75,21.65,21.6,2.8
49,21.3,21.5,21.65,21.7,21.6,2.8
50,21.3,21.45,21.55,21.8,21.6,2.8
51,21.3,21.4,21.55,21.7,21.6,2.9
52,21.3,21.6,21.45,21.6,21.75,3
53,21.25,21.45,21.45,21.65,21.9,3
54,21.25,21.3,21.45,21.75,22,3
55,21.25,21.2,21.45,22,22,3.1
56,21.3,21.2,21.35,22,21.9,3.1
57,21.25,21.1,21.5,21.9,21.85,3.25
58,21.2,21.2,21.55,21.65,21.8,3.3
59,21.25,21.1,21.45,21.65,21.9,3.3
60,21.2,21.15,21.25,21.7,21.9,3.4
