"","RoomTemp","MilkTemp","Time"
"1",22.1,4.2,1
"2",22.1,4.42595322655082,2
"3",22.1,4.64905422625311,3
"4",22.1,4.86933900300962,4
"5",22.1,5.08684310624277,5
"6",22.1,5.30160163663159,6
"7",22.1,5.51364925177623,7
"8",22.1,5.72302017179103,8
"9",22.1,5.92974818482687,9
"10",22.1,6.13386665252394,10
"11",22.1,6.33540851539561,11
"12",22.1,6.53440629814433,12
"13",22.1,6.73089211491044,13
"14",22.1,6.92489767445478,14
"15",22.1,7.11645428527577,15
"16",22.1,7.30559286066201,16
"17",22.1,7.492343923681,17
"18",22.1,7.67673761210497,18
"19",22.1,7.85880368327447,19
"20",22.1,8.0385715189006,20
"21",22.1,8.21607012980664,21
"22",22.1,8.39132816060974,22
"23",22.1,8.56437389434363,23
"24",22.1,8.73523525702288,24
"25",22.1,8.9039398221496,25
"26",22.1,9.07051481516324,26
"27",22.1,9.23498711783419,27
"28",22.1,9.39738327260197,28
"29",22.1,9.55772948685862,29
"30",22.1,9.71605163717804,30
"31",22.1,9.87237527349192,31
"32",22.1,10.026725623213,32
"33",22.1,10.1791275953062,33
"34",22.1,10.3296057843085,34
"35",22.1,10.4781844742979,35
"36",22.1,10.6248876428125,36
"37",22.1,10.7697389647197,37
"38",22.1,10.9127618160373,38
"39",22.1,11.0539792777054,39
"40",22.1,11.1934141393115,40
"41",22.1,11.3310889027683,41
"42",22.1,11.4670257859448,42
"43",22.1,11.6012467262519,43
"44",22.1,11.7337733841828,44
"45",22.1,11.8646271468086,45
"46",22.1,11.9938291312292,46
"47",22.1,12.1214001879819,47
"48",22.1,12.2473609044056,48
"49",22.1,12.3717316079637,49
"50",22.1,12.4945323695242,50
"51",22.1,12.6157830065989,51
"52",22.1,12.7355030865412,52
"53",22.1,12.8537119297043,53
"54",22.1,12.9704286125592,54
"55",22.1,13.0856719707725,55
"56",22.1,13.1994606022469,56
"57",22.1,13.311812870122,57
"58",22.1,13.4227469057381,58
"59",22.1,13.532280611562,59
"60",22.1,13.6404316640759,60
"61",22.1,13.7472175166306,61
"62",22.1,13.8526554022616,62
"63",22.1,13.9567623364703,63
"64",22.1,14.05955511997,64
"65",22.1,14.1610503413972,65
"66",22.1,14.2612643799886,66
"67",22.1,14.3602134082244,67
"68",22.1,14.4579133944381,68
"69",22.1,14.5543801053938,69
"70",22.1,14.6496291088303,70
"71",22.1,14.7436757759733,71
"72",22.1,14.8365352840165,72
"73",22.1,14.9282226185704,73
"74",22.1,15.0187525760809,74
"75",22.1,15.1081397662172,75
"76",22.1,15.1963986142292,76
"77",22.1,15.2835433632759,77
"78",22.1,15.3695880767235,78
"79",22.1,15.4545466404151,79
"80",22.1,15.5384327649118,80
"81",22.1,15.621259987705,81
"82",22.1,15.7030416754012,82
"83",22.1,15.7837910258791,83
"84",22.1,15.8635210704194,84
"85",22.1,15.942244675808,85
"86",22.1,16.019974546412,86
"87",22.1,16.0967232262304,87
"88",22.1,16.1725031009181,88
"89",22.1,16.2473263997851,89
"90",22.1,16.3212051977693,90
"91",22.1,16.394151417386,91
"92",22.1,16.4661768306515,92
"93",22.1,16.5372930609828,93
"94",22.1,16.6075115850737,94
"95",22.1,16.6768437347467,95
"96",22.1,16.7453006987815,96
"97",22.1,16.8128935247211,97
"98",22.1,16.8796331206545,98
"99",22.1,16.9455302569767,99
"100",22.1,17.0105955681272,100
"101",22.1,17.0748395543062,101
"102",22.1,17.1382725831688,102
"103",22.1,17.2009048914983,103
"104",22.1,17.2627465868584,104
"105",22.1,17.3238076492239,105
"106",22.1,17.3840979325918,106
"107",22.1,17.4436271665711,107
"108",22.1,17.502404957953,108
"109",22.1,17.5604407922617,109
"110",22.1,17.6177440352844,110
"111",22.1,17.6743239345835,111
"112",22.1,17.7301896209885,112
"113",22.1,17.7853501100697,113
"114",22.1,17.839814303593,114
"115",22.1,17.8935909909566,115
"116",22.1,17.9466888506094,116
"117",22.1,17.9991164514516,117
"118",22.1,18.0508822542171,118
"119",22.1,18.1019946128397,119
"120",22.1,18.1524617758004,120
"121",22.1,18.2022918874591,121
"122",22.1,18.2514929893687,122
"123",22.1,18.3000730215729,123
"124",22.1,18.3480398238876,124
"125",22.1,18.395401137166,125
"126",3.71,18.1635165652174,126
"127",3.71,17.9352934836296,127
"128",3.71,17.7106740769492,128
"129",3.71,17.489601442637,129
"130",3.71,17.272019576653,130
"131",3.71,17.057873359269,131
"132",3.71,16.8471085411052,132
"133",3.71,16.639671729387,133
"134",3.71,16.4355103744196,134
"135",3.71,16.234572756275,135
"136",3.71,16.0368079716906,136
"137",3.71,15.8421659211732,137
"138",3.71,15.650597296308,138
"139",3.71,15.462053567267,139
"140",3.71,15.276486970515,140
"141",3.71,15.0938504967098,141
"142",3.71,14.9140978787935,142
"143",3.71,14.7371835802717,143
"144",3.71,14.5630627836774,144
"145",3.71,14.3916913792181,145
"146",3.71,14.2230259536011,146
"147",3.71,14.0570237790357,147
"148",3.71,13.8936428024091,148
"149",3.71,13.7328416346332,149
"150",3.71,13.5745795401594,150
"151",3.71,13.4188164266593,151
"152",3.71,13.2655128348681,152
"153",3.71,13.1146299285881,153
"154",3.71,12.9661294848511,154
"155",3.71,12.8199738842347,155
"156",3.71,12.6761261013327,156
"157",3.71,12.5345496953751,157
"158",3.71,12.3952088009972,158
"159",3.71,12.2580681191533,159
"160",3.71,12.1230929081745,160
"161",3.71,11.990248974968,161
"162",3.71,11.8595026663548,162
"163",3.71,11.7308208605444,163
"164",3.71,11.6041709587439,164
"165",3.71,11.4795208769,165
"166",3.71,11.3568390375715,166
"167",3.71,11.236094361929,167
"168",3.71,11.1172562618825,168
"169",3.71,11.0002946323324,169
"170",3.71,10.8851798435427,170
"171",3.71,10.7718827336351,171
"172",3.71,10.6603746012018,172
